Taille du terrain : 1
Nombre de cellules par direction : 700
Vecteur vitesse : [0, 0]
Position initiale du foyer (col, ligne) : 350, 350
OpenMP threads: 6
step,update_time,display_time,total_time
0,484,66759,68175
1,32,39007,39150
2,34,37199,37268
3,38,38387,38439
4,35,36587,36637
5,33,41547,41591
6,55,38519,38595
7,37,36005,36060
8,54,36629,36700
9,52,36625,36693
10,70,35904,35988
11,73,36975,37063
12,77,37905,37998
13,96,36362,36478
14,86,36381,36482
15,63,36166,36244
16,79,35866,35962
17,102,36261,36380
18,89,37577,37682
19,107,37766,37889
20,104,37025,37145
21,121,36820,36961
22,110,37263,37392
23,209,37005,37238
24,119,37413,37549
25,127,39095,39241
26,141,38134,38300
27,134,39736,39892
28,148,39942,40111
29,166,38923,39117
30,173,38124,38319
31,168,39041,39230
32,203,37092,37321
33,190,37189,37399
34,188,37209,37416
35,211,36967,37200
36,224,38101,38345
37,243,37433,37696
38,230,36999,37248
39,242,37110,37371
40,267,37835,38123
41,283,38805,39108
42,305,36433,36758
43,314,35982,36313
44,317,36279,36610
45,362,37542,37919
46,322,35825,36158
47,342,36302,36655
48,361,37157,37529
49,374,36728,37112
50,415,36226,36651
51,391,36308,36708
52,439,36039,36488
53,437,37254,37702
54,454,36265,36728
55,452,37570,38032
56,488,36384,36887
57,495,37538,38044
58,500,37743,38256
59,541,37028,37583
60,566,36890,37468
61,579,36981,37572
62,582,37264,37858
63,631,36816,37459
64,626,51561,52197
65,3043,40224,43294
66,712,35435,36166
67,748,35429,36188
68,765,35415,36191
69,797,35741,36549
70,802,35664,36476
71,819,35369,36199
72,910,35415,36337
73,912,35462,36386
74,939,36026,36977
75,982,35086,36081
76,980,34804,35796
77,1039,36663,37714
78,1082,36126,37221
79,1070,35113,36196
80,1110,36280,37402
81,1116,37321,38450
82,1149,37580,38742
83,1200,36791,38004
84,1215,35779,37006
85,1226,36232,37471
86,1176,35593,36782
87,1245,35509,36767
88,1248,35240,36501
89,1346,35738,37099
90,1432,34706,36152
91,1416,36592,38020
92,1407,35767,37193
93,1359,36265,37633
94,1265,36971,38246
95,1281,35957,37249
96,1333,36896,38241
97,1346,36845,38206
98,1324,36611,37946
99,1393,36761,38163
100,1446,35515,36971
101,1448,37144,38601
102,1472,36878,38361
103,1519,37500,39027
104,1539,37403,38950
105,1570,36884,38464
106,1584,37536,39128
107,1629,37887,39524
108,1659,36628,38295
109,1691,37234,38933
110,1728,43145,44883
111,1876,36182,38084
112,1773,36081,37877
113,1859,37284,39153
114,1903,36115,38029
115,1908,36358,38276
116,1975,37470,39454
117,2072,35747,37827
118,2074,36073,38156
119,2143,36122,38273
120,2220,36667,38896
121,2183,36544,38736
122,2237,36298,38549
123,2256,36482,38749
124,2339,36631,38981
125,2378,36122,38507
126,2416,37113,39540
127,2401,37233,39643
128,2428,35920,38358
129,2525,37167,39703
130,2576,36480,39065
131,3282,35941,39234
132,2851,37065,39925
133,2867,36901,39778
134,2891,36104,39004
135,2938,36675,39624
136,3020,36011,39042
137,3059,36333,39400
138,2948,37503,40467
139,2902,36947,39864
140,3134,36006,39151
141,3216,36027,39255
142,3270,36051,39329
143,3300,37347,40655
144,3341,37186,40536
145,3352,37375,40734
146,3422,37093,40525
147,3449,37243,40703
148,3468,36319,39795
149,3546,36025,39582
150,3658,36907,40573
151,3640,36804,40458
152,3707,35968,39685
153,3769,36489,40266
154,3857,36374,40243
155,3905,37757,41670
156,3933,36655,40599
157,3986,35943,39938
158,4040,36517,40565
159,4137,37193,41341
160,4160,36857,41028
161,4199,36270,40483
162,4280,35878,40167
163,4392,36439,40842
164,4190,36512,40714
165,4454,37008,41474
166,4475,35896,40383
167,4553,36864,41427
168,4539,36359,40907
169,4660,36162,40832
170,4683,36809,41501
171,4901,36424,41337
172,4884,36106,41004
173,4960,37378,42349
174,5326,35673,41017
175,5064,36728,41805
176,5168,35010,40192
177,5132,36727,41873
178,5286,35402,40703
179,5247,35647,40907
180,5350,36083,41447
181,5398,36371,41784
182,5564,36254,41833
183,5650,36632,42295
184,6329,37275,43619
185,5713,35902,41628
186,6147,35847,42007
187,5131,37555,42698
188,5456,36401,41870
189,5530,35935,41479
190,5624,36215,41853
191,5765,36098,41877
192,5860,36566,42442
193,5841,36671,42527
194,5932,37075,43021
195,5985,35254,41255
196,6149,36749,42915
197,6083,35796,41895
198,6200,35682,41899
199,6229,36503,42745
200,6384,36311,42710
201,6251,36684,42950
202,6432,37583,44030
203,6439,36841,43293
204,6544,36460,43019
205,6536,36310,42861
206,6689,36773,43480
207,6698,36711,43424
208,6730,38275,45019
209,7027,35193,42237
210,6857,35162,42037
211,6799,36171,42987
212,6923,35174,42112
213,7038,35537,42592
