Taille du terrain : 1
Nombre de cellules par direction : 700
Vecteur vitesse : [0, 0]
Position initiale du foyer (col, ligne) : 350, 350
OpenMP threads: 2
step,update_time,display_time,total_time
0,138,64718,65732
1,19,37762,37881
2,17,40525,40572
3,24,37051,37087
4,19,42345,42374
5,21,42241,42270
6,26,42029,42065
7,29,41980,42020
8,34,41905,41950
9,33,42052,42093
10,38,42866,42913
11,59,42396,42464
12,57,41997,42062
13,74,40015,40108
14,71,35071,35159
15,70,37656,37741
16,83,35433,35536
17,73,35691,35782
18,91,36030,36140
19,129,35452,35599
20,93,34227,34340
21,117,34381,34504
22,109,35333,35450
23,107,35837,35960
24,123,36255,36403
25,115,38834,38973
26,167,39416,39612
27,162,39909,40101
28,188,37904,38121
29,174,36662,36863
30,177,36272,36474
31,193,35602,35818
32,183,34765,34960
33,219,34973,35203
34,198,34754,34963
35,327,36186,36540
36,299,36085,36405
37,303,35425,35749
38,319,35451,35787
39,331,35123,35473
40,351,35165,35536
41,404,35144,35564
42,409,35203,35629
43,387,35353,35755
44,438,35145,35594
45,403,35406,35822
46,457,35322,35793
47,526,34752,35288
48,507,34626,35143
49,537,34980,35526
50,574,35205,35789
51,553,35247,35809
52,574,35278,35863
53,596,35250,35854
54,615,35518,36142
55,639,34480,35128
56,656,35870,36535
57,996,35717,36722
58,787,35603,36399
59,744,35550,36303
60,779,35510,36297
61,824,35266,36098
62,855,41640,42505
63,851,41914,42773
64,882,41919,42809
65,907,41575,42500
66,1016,41817,42844
67,1031,42393,43434
68,1019,40970,41998
69,1072,37133,38213
70,1096,35700,36807
71,1155,35447,36611
72,1164,35698,36871
73,1202,34856,36068
74,1228,35911,37148
75,1278,35590,36878
76,1353,34772,36134
77,1359,35193,36561
78,1404,35581,36994
79,1414,35010,36433
80,1452,35458,36921
81,1476,35832,37317
82,1517,34928,36454
83,1571,35357,36937
84,1613,35604,37228
85,1641,34687,36340
86,1658,34890,36558
87,1694,35452,37155
88,1813,35101,36924
89,1775,34642,36427
90,1838,35140,36988
91,1868,34744,36621
92,1906,35032,36948
93,2007,35222,37242
94,1932,34627,36570
95,1930,34567,36507
96,2040,35766,37816
97,2035,35501,37554
98,2114,34559,36689
99,2139,34578,36727
100,2191,35250,37454
101,2233,34405,36648
102,2269,34832,37110
103,2324,34861,37193
104,2356,35026,37390
105,2402,34606,37018
106,2444,34849,37302
107,2504,36002,38518
108,2528,35248,37785
109,2621,35252,37884
110,2669,35463,38140
111,2713,35262,37990
112,2748,34978,37741
113,2889,34911,37816
114,2920,34949,37878
115,2996,36403,39408
116,2999,34427,37437
117,3027,34984,38019
118,3092,35241,38343
119,3194,34852,38056
120,3290,35280,38579
121,3352,34647,38009
122,3392,35469,38871
123,3382,35548,38940
124,3492,35610,39116
125,3760,35660,39432
126,3691,35749,39453
127,3786,34895,38692
128,3839,35634,39484
129,3847,34797,38662
130,3882,35443,39341
131,4603,34929,39546
132,4092,35812,39915
133,4097,34614,38723
134,4249,35756,40015
135,4347,34624,38982
136,4359,35398,39768
137,4308,35173,39493
138,4319,34881,39210
139,4543,35484,40036
140,4467,35968,40445
141,4546,35122,39678
142,4656,35122,39788
143,4693,35366,40070
144,4808,36265,41082
145,4822,35740,40571
146,4992,35970,40973
147,4923,34990,39923
148,4959,35705,40674
149,4442,35305,39765
150,4807,35240,40063
151,5027,34868,39909
152,5280,35388,40680
153,5515,35066,40591
154,5452,34556,40020
155,5445,34615,40071
156,5675,35179,40868
157,5705,35793,41509
158,5698,35110,40822
159,5752,35084,40846
160,5967,35578,41567
161,5997,35149,41168
162,6085,36283,42382
163,6106,35611,41727
164,6283,35442,41735
165,6253,35669,41932
166,6401,35938,42350
167,6531,35233,41773
168,6353,35901,42263
169,6527,35577,42115
170,6584,35052,41647
171,6941,35698,42649
172,6924,35766,42705
173,6928,35082,42028
174,6100,35806,41921
175,6923,35286,42224
176,7185,35342,42538
177,7341,34797,42148
178,7337,35280,42626
179,7425,35556,42996
180,7531,35739,43282
181,7615,35111,42738
182,7644,35310,42968
183,7942,35159,43112
184,8014,34728,42756
185,8032,34874,42919
186,8397,34476,42886
187,7608,34886,42505
188,7583,34951,42547
189,7847,34602,42463
190,8031,34646,42693
191,8240,35278,43531
192,8724,35848,44600
193,8456,34826,43301
194,8407,35314,43738
195,8473,35742,44228
196,8884,36240,45141
197,8664,36308,44986
198,8868,35429,44316
199,8973,34561,43549
200,9040,34898,43951
201,8989,36114,45117
202,9189,35931,45133
203,9496,35762,45272
204,9400,34975,44389
205,9442,36185,45644
206,9787,35694,45498
207,9676,36095,45786
208,9556,36009,45580
209,9871,35568,45454
210,10119,35442,45574
211,10188,35756,45957
212,10235,35959,46210
213,10451,35412,45877
214,10545,36178,46740
215,10451,35938,46405
216,10654,35097,45767
217,10744,36092,46854
218,11203,36678,47899
219,10944,35911,46870
220,11183,35033,46234
221,11216,35630,46863
222,11299,36394,47707
223,11215,35645,46876
224,12403,35772,48200
225,11776,35414,47210
226,11782,35739,47539
227,11681,35264,46961
228,11815,35610,47442
229,11952,35758,47726
230,12011,35339,47364
231,12223,35334,47571
232,12425,35596,48037
233,12648,36162,48829
234,12832,36226,49075
235,12609,35034,47659
236,12856,35262,48133
237,13038,35527,48587
238,12975,35325,48317
239,13194,36670,49882
240,13245,35309,48572
241,13427,34566,48010
242,13472,35835,49323
243,13527,35165,48709
244,13751,34876,48642
245,13805,35090,48913
246,14060,35607,49684
247,14247,35366,49630
248,14464,36087,50568
249,14737,35030,49785
250,14912,35463,50392
251,15152,35784,50952
252,15398,35628,51042
253,15149,35490,50656
254,15356,34693,50066
255,15604,35846,51467
256,16629,35540,52193
257,16153,35930,52102
