Taille du terrain : 1
Nombre de cellules par direction : 700
Vecteur vitesse : [0, 0]
Position initiale du foyer (col, ligne) : 350, 350
OpenMP threads: 8
step,update_time,display_time,total_time
0,699,49046,51553
1,33,40247,40424
2,44,36958,37039
3,45,39940,40000
4,48,35769,35835
5,39,36839,36891
6,50,36424,36488
7,57,38745,38816
8,61,36594,36675
9,57,36478,36549
10,61,37790,37864
11,66,36123,36199
12,64,36191,36266
13,88,35831,35930
14,71,36676,36757
15,86,36137,36235
16,86,37449,37546
17,79,37176,37266
18,149,37065,37226
19,135,36184,36334
20,119,36164,36294
21,135,36385,36531
22,141,37049,37203
23,165,35992,36170
24,165,36885,37065
25,178,36579,36773
26,178,36603,36797
27,183,36588,36787
28,207,36888,37110
29,219,36333,36568
30,174,36864,37054
31,242,35987,36244
32,208,40092,40317
33,293,39037,39351
34,237,35972,36230
35,192,36097,36306
36,189,36279,36482
37,206,36963,37182
38,288,35658,35957
39,400,35789,36197
40,367,36534,36910
41,270,35858,36136
42,410,35809,36228
43,414,36503,36926
44,327,35422,35758
45,529,37023,37561
46,521,35827,36361
47,374,35858,36241
48,547,35423,35979
49,405,37247,37660
50,460,37025,37493
51,599,36571,37178
52,610,36379,36998
53,654,36490,37155
54,718,35858,36585
55,675,36428,37111
56,480,35980,36472
57,539,35417,35968
58,549,36159,36717
59,790,36345,37144
60,677,35770,36455
61,571,35833,36414
62,911,37321,38244
63,550,36343,36905
64,699,36022,36731
65,977,36184,37173
66,775,36096,36881
67,1088,36497,37594
68,1085,36964,38059
69,1112,36979,38100
70,1186,36452,37647
71,1275,37444,38728
72,1192,35752,36953
73,1244,35791,37044
74,890,36007,36906
75,1321,36640,37969
76,1051,35915,36975
77,923,36332,37263
78,976,35643,36627
79,1236,36068,37313
80,1558,37034,38601
81,1325,36068,37402
82,1099,36993,38101
83,1091,36840,37941
84,1115,36780,37902
85,1652,36189,37849
86,1161,37200,38369
87,1192,35613,36812
88,1745,34511,36263
89,1245,34817,36072
90,1276,35160,36446
91,1353,36257,37618
92,1342,36560,37909
93,1404,35976,37388
94,1285,35575,36870
95,1310,34807,36125
96,1471,34588,36070
97,1372,36087,37469
98,1406,35642,37056
99,1466,35047,36523
100,1434,35334,36776
101,2173,35869,38050
102,1460,35170,36637
103,1531,35415,36954
104,1614,35238,36860
105,1584,36665,38259
106,1651,35437,37096
107,1675,36091,37774
108,1735,36123,37865
109,1711,35735,37453
110,1749,35211,36970
111,1843,36107,37959
112,1960,35855,37823
113,1917,34889,36815
114,1931,35118,37057
115,2019,34890,36919
116,2237,35661,37910
117,2188,35888,38087
118,2218,37503,39735
119,2730,35848,38597
120,2534,37266,39817
121,2568,35545,38130
122,2385,34928,37330
123,3585,35281,38880
124,2407,36073,38493
125,2621,35327,37962
126,2637,35864,38517
127,2576,35298,37889
128,2682,35766,38465
129,2782,35553,38354
130,2722,35546,38283
131,3394,34817,38228
132,2830,34697,37541
133,2797,35216,38023
134,2882,36723,39616
135,2928,36204,39141
136,3101,36541,39652
137,3001,35471,38480
138,3096,35647,38757
139,3084,36946,40040
140,3070,34537,37617
141,3115,35820,38946
142,3227,35664,38907
143,3227,35354,38592
144,3379,35067,38458
145,3386,35289,38687
146,3419,35364,38795
147,3456,35946,39413
148,3462,35617,39091
149,3525,36718,40255
150,3598,34998,38607
151,3584,35229,38824
152,3633,34909,38555
153,3707,34874,38593
154,3862,35393,39266
155,3832,35009,38852
156,3914,35977,39904
157,3981,35404,39398
158,4111,35469,39594
159,4156,35369,39537
160,4180,36142,40336
161,4490,34923,39435
162,4359,36135,40513
163,4444,35124,39587
164,4386,35116,39515
165,4395,35352,39758
166,4461,35566,40039
167,4574,36805,41392
168,4597,36703,41311
169,4667,35150,39825
170,4706,35453,40169
171,4871,37059,41942
172,4846,37093,41951
173,5086,36954,42061
174,4940,35428,40381
175,5027,35630,40671
176,5179,35591,40788
177,5399,35671,41089
178,5277,35818,41113
179,5389,38545,43950
180,6258,35204,41483
181,5485,35104,40605
182,5504,35209,40725
183,5536,36354,41903
184,5585,35410,41008
185,5666,34975,40654
186,6329,35075,41417
187,5248,34698,39962
188,5615,35510,41143
189,5709,36934,42661
190,6772,35807,42600
191,6148,36995,43166
192,5744,36780,42548
193,6301,35681,42004
194,6142,36126,42288
195,5867,35594,41482
196,6095,35869,41980
197,6158,35652,41825
198,6334,35817,42168
199,6252,35546,41815
200,6340,37028,43383
201,6425,37540,43981
202,6499,38312,44826
203,6537,37048,43598
204,6892,36918,43831
205,6719,35806,42542
206,7034,36657,43709
207,6982,36617,43618
208,7023,35590,42631
209,7189,35600,42807
210,7377,35163,42559
211,7528,35856,43403
212,7379,37467,44865
213,7521,36110,43650
214,7672,35783,43476
215,7694,36451,44165
216,7877,37006,44905
217,7657,35344,43018
218,7592,36885,44495
219,7739,36764,44520
220,7854,37650,45522
221,7870,35933,43823
222,8149,36140,44311
223,8330,35871,44223
224,8093,35930,44046
225,8738,35969,44731
226,8526,36808,45356
227,8754,35760,44537
228,8514,36443,44977
229,8747,36714,45481
230,8705,35271,43995
231,8785,36893,45695
232,9018,38530,47567
233,9035,37873,46928
234,9027,35917,44961
235,9113,36080,45213
236,9722,35914,45658
237,9384,36374,45779
238,9559,35458,45038
239,9571,35556,45148
240,9919,35357,45298
241,9854,35672,45546
242,10063,35028,45113
243,10086,35083,45191
244,10031,35266,45318
245,10070,35849,45940
246,10143,35873,46038
247,10461,35128,45612
248,10504,35479,46004
249,10601,35469,46092
250,10772,36372,47167
251,10786,35263,46071
252,11021,35516,46560
253,11763,36336,48125
254,11040,35527,46590
255,11027,34469,45520
256,12872,35659,48554
257,11577,36388,47989
258,12401,35211,47638
259,11531,35675,47231
260,11505,35356,46884
261,11743,34895,46661
262,11838,35174,47035
263,12031,36122,48179
264,13680,35187,48891
265,12272,36473,48770
266,12369,37199,49592
267,13005,35972,49003
268,12578,35886,48491
269,12766,36936,49727
270,12797,36056,48877
271,12859,36086,48968
272,12867,36747,49639
273,12228,36127,48377
274,12129,36379,48532
275,13037,36658,49720
276,13382,34807,48219
277,13305,35735,49065
278,13384,35265,48675
279,13694,37007,50725
280,13669,35097,48790
281,13786,34854,48664
282,14353,36214,50593
283,15015,36262,51302
284,14444,35666,50133
285,14423,36348,50796
286,14591,35384,50001
287,14745,36607,51377
288,16130,35819,51975
289,15577,38172,53774
290,16033,38312,54373
291,15699,38853,54574
292,15895,38014,53932
293,15734,38415,54171
294,15910,36796,52727
295,15829,37542,53398
296,15893,38458,54375
297,15892,37363,53278
298,18134,36254,54415
299,16080,35974,52078
300,17236,36317,53578
301,17087,35784,52897
302,17163,36217,53404
303,17277,37050,54357
304,17439,36350,53814
305,17860,36100,53983
306,17792,35946,53763
307,17818,36781,54625
308,17924,35642,53591
309,17960,35964,53948
310,17615,35773,53414
311,17949,37329,55303
312,18748,37407,56181
313,18222,37949,56196
314,17756,39276,57058
315,18201,37953,56179
316,18047,35650,53724
317,19056,35537,54625
318,18274,36485,54786
319,18708,37522,56257
320,20762,38254,59041
321,19909,37674,57608
322,20274,37957,58257
323,19235,35634,54895
324,19092,36788,55908
325,19283,36330,55639
326,19401,37606,57035
327,19722,37239,56987
328,19659,38821,58507
329,22146,36583,58750
330,21748,35782,57552
331,22216,36938,59174
332,21680,36444,58146
333,22074,36657,58753
334,22126,36281,58433
335,22621,36879,59527
336,22558,36046,58625
337,23390,37030,60442
338,22127,37788,59935
339,23156,36250,59429
340,23727,36254,60012
341,22911,35816,58754
342,21043,35823,56894
343,21010,35334,56373
344,21492,36043,57560
345,22034,36043,58106
346,21629,37303,58959
347,21961,37360,59349
348,21890,35967,57885
349,22081,37400,59510
350,22416,35987,58428
351,22336,35600,57964
352,22602,35902,58533
353,22829,35938,58795
354,22877,36338,59243
355,23249,35133,58409
356,23199,36255,59483
357,23246,36784,60058
358,23106,35876,59010
359,23881,36665,60574
360,23477,35202,58709
361,23616,36326,59971
362,23773,35157,58959
363,24335,36270,60634
364,24140,36773,60942
365,24339,35663,60032
366,24259,35716,60003
367,24911,38034,62973
368,24398,36006,60432
369,25083,36746,61858
370,25558,35985,61566
371,26986,37816,64827
372,26848,37282,64157
373,27511,37224,64761
374,26354,38048,64429
375,26324,37594,63945
376,26815,36585,63428
377,27109,37658,64789
378,26918,36811,63757
379,27129,36071,63229
380,27433,36148,63609
381,27772,37368,65168
382,28246,36602,64876
383,29132,37520,66682
384,27210,38031,65265
385,31053,38392,69469
386,29081,37248,66356
387,28876,36546,65449
388,28365,37530,65922
389,28968,38041,67037
390,28799,36521,65347
391,29679,37626,67328
392,32923,37407,70354
393,32708,37563,70295
394,32389,37236,69646
395,33421,37140,70582
396,37084,36140,73250
397,34845,36842,71713
398,33575,36469,70066
399,34378,38807,73207
400,33060,37872,70961
401,31713,37520,69261
402,31414,35599,67047
