N,threads,avg_update_speedup,avg_display_speedup,avg_total_speedup
50,1,1.0,1.0,1.0
50,2,1.0572104321052527,1.0148323991479995,1.0652308440534568
50,4,0.8962938407386186,1.006842046654939,1.0359411193478074
50,6,0.8589047323403497,0.9836364359480587,1.0205259948723202
50,10,0.7552350936716953,0.8723045651016142,0.913544883671908
100,1,1.0,1.0,1.0
100,2,1.0863374439938358,0.9961595618074901,1.0649905878224726
100,4,0.9932825019075593,0.9979510938881364,1.0580904360334682
100,6,0.9636207917664917,0.9334192300856474,1.0094545221453848
100,10,0.8099590597229636,0.8579033658238905,0.9110288090223759
200,1,1.0,1.0,1.0
200,2,0.9884611857178975,0.9838060312409714,1.0408374762251857
200,4,0.8872374647566181,0.984480989276141,1.029361957146609
200,6,0.8788517377695171,0.962163577005625,1.01896426807475
200,10,0.713918459221528,0.8753185292740878,0.9075120715369966
400,1,1.0,1.0,1.0
400,2,1.083098429046414,0.993554087944822,1.0487314607962124
400,4,1.0732004593530717,0.9865439002906209,1.045721210454419
400,6,1.0963752064435415,0.9835672983195362,1.0616670339710987
400,10,0.9921913807275295,0.9534489312491022,1.0304742206078579
