Taille du terrain : 1.000000
Nombre de cellules par direction : 50
Vecteur vitesse : [0.000000, 0.000000]
Position initiale du foyer (col, ligne) : 25, 25
OpenMP threads: 1
step,update_time,display_time,total_time
0,31,2577,3648
1,32,1300,1572
2,31,459,527
3,22,319,352
4,31,345,387
5,40,287,341
6,64,283,358
7,77,283,371
8,102,278,391
9,116,265,392
10,131,257,398
11,165,272,446
12,157,477,644
13,203,267,482
14,220,783,1015
15,160,161,332
16,169,178,354
17,169,153,329
18,178,155,339
19,201,174,381
20,227,161,395
21,237,152,395
22,261,162,429
23,280,154,440
24,312,147,466
25,314,156,475
26,353,149,508
27,365,159,531
28,409,163,578
29,430,157,595
30,479,178,665
31,511,669,1187
32,900,384,1308
33,1047,340,1408
34,1090,452,1566
35,952,323,1297
36,1145,295,1453
37,1203,287,1502
38,1246,301,1559
39,930,193,1134
40,832,214,1054
41,776,179,963
42,823,182,1013
43,900,230,1145
44,1055,188,1253
45,1131,233,1381
46,1047,199,1257
47,1055,186,1250
48,1052,171,1232
49,1059,190,1258
50,1170,214,1394
51,1115,182,1304
52,1129,182,1318
53,1120,179,1307
54,1137,158,1302
55,1194,189,1393
56,1224,183,1426
57,1152,180,1339
58,1248,211,1470
59,1256,214,1481
60,1188,201,1402
61,1151,174,1332
62,1179,190,1377
63,1243,182,1432
64,1207,159,1375
65,1267,172,1447
66,1296,172,1475
67,1300,184,1492
68,1313,178,1523
69,1351,1329,2694
70,1229,177,1420
71,1263,184,1457
72,1180,162,1351
73,1234,162,1405
74,1288,149,1444
75,1164,168,1339
76,1207,178,1393
77,1243,183,1433
78,1313,215,1536
79,1242,1235,2485
80,1290,164,1463
81,1238,160,1404
82,1257,182,1448
83,1233,169,1409
84,1323,186,1517
85,1330,165,1501
86,1280,158,1445
87,1287,166,1463
88,1358,171,1537
89,1378,182,1578
90,1369,171,1549
91,1294,168,1470
92,1323,176,1507
93,1329,191,1527
94,1280,160,1448
95,1266,170,1445
96,1283,158,1448
97,1304,173,1486
98,1234,174,1416
99,1265,173,1446
100,1320,156,1492
101,1224,161,1393
102,1316,174,1497
103,1226,166,1400
104,1333,157,1496
105,1385,207,1606
106,1372,201,1587
107,1321,193,1524
108,1340,172,1521
109,1244,158,1409
110,1333,182,1522
111,1337,179,1524
112,1349,171,1539
113,1332,174,1516
114,1346,184,1539
115,1324,173,1506
116,1233,179,1419
117,1285,192,1485
118,1227,178,1412
119,1313,179,1499
120,1213,153,1372
121,1190,158,1356
122,1223,168,1399
123,1411,197,1650
124,1333,174,1516
125,1272,159,1439
126,1224,188,1420
127,1232,172,1415
128,1203,168,1379
129,1272,165,1444
130,1253,171,1431
131,1310,154,1471
132,1207,160,1375
133,1204,167,1378
134,1294,184,1507
135,1312,172,1492
136,1275,159,1442
137,1196,164,1367
138,1209,160,1375
139,1214,159,1381
140,1210,191,1408
141,1235,176,1419
142,1322,175,1504
143,1202,158,1367
144,1181,159,1347
145,1205,173,1385
146,1325,172,1527
147,1299,175,1482
148,1272,150,1429
149,1270,165,1442
150,1253,157,1416
151,1233,156,1396
152,1278,169,1455
153,1261,158,1426
154,1234,175,1415
155,1272,158,1437
156,1238,156,1399
157,1315,182,1504
158,1299,194,1507
159,1297,162,1468
160,1193,157,1358
161,1197,192,1397
162,1232,172,1413
163,1293,164,1466
164,1278,159,1445
165,1174,161,1343
166,1163,152,1322
167,1205,158,1371
168,1170,160,1337
169,1230,197,1434
170,1245,168,1420
171,1299,192,1506
172,1230,187,1426
173,1305,177,1491
174,1210,159,1376
175,1179,165,1352
176,1197,169,1373
177,1280,172,1460
178,1297,167,1470
179,1278,159,1443
180,1210,176,1393
181,1243,156,1416
182,1241,164,1413
183,1287,157,1452
184,1210,170,1387
185,1182,169,1359
186,1223,160,1390
187,1199,172,1379
188,1167,168,1342
189,1282,186,1475
190,1282,171,1461
191,1318,178,1504
192,1198,182,1388
193,1334,181,1533
194,1247,174,1429
195,1251,159,1416
196,1196,166,1369
197,1165,182,1354
198,1174,178,1358
199,1179,150,1336
200,1165,177,1349
201,1336,173,1517
202,1272,172,1452
203,1256,159,1422
204,1219,214,1441
205,1186,163,1356
206,1204,161,1375
207,1166,183,1357
208,1189,160,1356
209,1174,162,1344
210,1161,191,1360
211,1193,156,1357
212,1213,178,1399
213,1287,175,1468
214,1200,183,1390
215,1178,177,1363
216,1241,162,1412
217,1142,168,1317
218,1219,170,1397
219,1193,177,1378
220,1258,172,1447
221,1172,159,1337
222,1145,163,1316
223,1174,191,1372
224,1163,181,1352
225,1249,181,1438
226,1192,161,1367
227,1193,175,1375
228,1249,185,1442
229,1145,160,1313
230,1203,170,1380
231,1139,176,1323
232,1238,167,1421
233,1137,173,1318
234,1146,170,1322
235,1256,189,1452
236,1167,167,1341
