Taille du terrain : 1.000000
Nombre de cellules par direction : 50
Vecteur vitesse : [0.000000, 0.000000]
Position initiale du foyer (col, ligne) : 25, 25
OpenMP threads: 3
step,update_time,display_time,total_time
0,150,3243,3776
1,18,268,1059
2,15,3364,3398
3,19,2102,2133
4,26,216,252
5,30,2274,2315
6,69,536,636
7,66,566,649
8,66,560,638
9,68,581,658
10,93,540,643
11,128,506,647
12,96,567,673
13,125,521,657
14,110,145,262
15,126,2855,2988
16,149,180,338
17,155,303,465
18,171,275,456
19,346,299,723
20,227,176,561
21,243,169,424
22,377,302,695
23,401,336,1185
24,444,302,815
25,440,290,783
26,496,1269,1786
27,549,945,1547
28,378,201,594
29,453,182,652
30,469,277,759
31,434,196,640
32,462,4287,4763
33,1814,318,2149
34,881,2667,3561
35,1134,367,1519
36,827,258,1103
37,942,335,1300
38,617,417,1048
39,657,234,902
40,676,210,896
41,701,175,887
42,744,176,929
43,762,183,954
44,793,186,992
45,774,183,966
46,818,174,999
47,855,182,1056
48,947,2193,3153
49,1220,358,1606
50,1113,264,1400
51,954,223,1193
52,1295,236,1557
53,914,1489,2418
54,1024,192,1225
55,971,177,1158
56,995,181,1184
57,1005,185,1203
58,983,2085,3078
59,1296,228,1541
60,1013,184,1206
61,978,193,1179
62,1070,175,1252
63,1017,173,1198
64,1033,173,1213
65,1011,170,1188
66,1008,169,1184
67,1034,171,1212
68,1037,168,1212
69,1062,172,1252
70,1043,584,1635
71,1078,173,1259
72,1156,209,1379
73,1038,176,1224
74,1074,185,1270
75,1031,888,1930
76,1060,193,1266
77,1073,174,1255
78,1063,167,1238
79,1068,169,1244
80,1061,170,1238
81,1091,170,1275
82,1040,683,1730
83,1105,188,1305
84,1117,192,1320
85,1062,163,1234
86,1108,194,1310
87,1065,171,1243
88,1071,169,1247
89,1085,164,1256
90,1062,168,1237
91,1044,165,1215
92,1079,169,1256
93,1042,170,1220
94,1100,172,1280
95,1056,168,1239
96,1079,527,1616
97,1311,257,1586
98,1059,182,1251
99,1072,170,1250
100,1216,208,1515
101,1093,174,1277
102,1094,179,1281
103,1063,168,1238
104,1038,168,1214
105,1037,166,1210
106,1062,169,1238
107,1084,177,1268
108,1096,172,1285
109,1047,497,1552
110,1146,1146,2307
111,1097,188,1298
112,1069,175,1253
113,1067,174,1249
114,1047,165,1220
115,1044,170,1221
116,1057,167,1232
117,1084,168,1258
118,1032,162,1201
119,1057,167,1231
120,1050,162,1219
121,1054,1394,2456
122,1762,362,2148
123,1140,190,1343
124,1045,176,1229
125,1058,175,1241
126,1039,169,1215
127,1034,171,1211
128,1030,181,1218
129,1043,162,1212
130,1073,165,1244
131,1041,1481,2530
132,1093,194,1300
133,1103,177,1289
134,1022,174,1204
135,1058,170,1235
136,1063,172,1242
137,1048,174,1230
138,1054,164,1225
139,1045,170,1222
140,1060,166,1233
141,1036,165,1207
142,1031,162,1199
143,1038,1675,2721
144,1208,204,1424
145,1143,179,1332
146,1045,165,1217
147,1045,162,1214
148,1045,166,1218
149,1030,168,1205
150,1053,168,1227
151,1041,167,1215
152,1057,200,1398
153,1069,178,1255
154,1069,177,1254
155,1038,164,1209
156,1009,167,1183
157,1026,170,1202
158,1094,174,1276
159,1023,162,1192
160,1027,163,1197
161,1026,167,1200
162,1080,168,1255
163,1042,173,1225
164,1019,166,1192
165,1026,160,1192
166,1024,166,1197
167,1065,167,1239
168,1030,167,1204
169,1034,162,1202
170,1024,168,1199
171,1043,173,1223
172,1067,161,1234
173,1053,163,1222
174,1013,159,1178
175,1036,188,1231
176,1009,167,1182
177,1032,167,1206
178,1061,167,1238
179,1053,170,1230
180,1071,178,1256
181,1038,169,1213
182,1026,166,1198
183,1013,161,1181
184,1028,168,1202
185,1041,172,1220
186,1013,161,1180
187,1022,165,1194
188,1028,162,1196
189,1007,164,1178
190,1061,171,1240
191,1039,171,1219
192,1041,215,1267
193,1083,178,1272
194,1082,192,1282
195,1061,173,1241
196,1089,173,1270
197,1076,173,1256
198,1066,183,1256
199,1041,182,1231
200,1040,172,1221
201,1022,170,1199
202,1011,170,1188
203,1020,174,1201
204,1026,219,1253
205,1017,176,1204
206,1003,175,1185
207,1028,173,1208
208,1022,171,1200
209,1045,166,1218
210,1002,163,1172
211,999,162,1168
212,1018,169,1194
213,1058,202,1269
214,999,172,1179
215,1005,168,1181
216,1000,170,1177
217,1002,168,1177
218,1018,170,1195
219,1003,172,1182
220,986,162,1158
221,1000,162,1168
222,1025,168,1200
223,1037,168,1213
224,1004,175,1185
225,999,168,1174
226,976,168,1151
227,984,162,1153
228,1023,176,1211
229,998,172,1178
230,1014,170,1192
231,978,163,1148
232,1006,165,1177
233,978,168,1152
234,986,167,1160
235,1012,169,1187
236,997,170,1174
237,969,160,1138
238,970,169,1145
239,970,168,1145
240,999,170,1176
241,1050,178,1236
242,984,172,1163
243,968,162,1137
244,992,168,1168
245,972,168,1146
246,1012,167,1185
247,976,168,1150
248,994,173,1173
249,974,171,1151
250,969,170,1146
251,962,160,1129
252,968,169,1144
253,973,159,1139
254,1008,166,1180
255,959,163,1129
256,966,161,1134
257,967,163,1136
258,948,172,1127
259,942,172,1121
260,961,169,1137
261,963,166,1135
262,946,161,1113
263,937,181,1127
264,950,176,1134
265,929,165,1100
266,932,161,1100
267,929,161,1097
268,959,175,1141
269,965,171,1142
270,918,160,1085
271,904,162,1072
272,897,163,1067
273,884,194,1085
274,875,174,1056
275,858,159,1024
276,844,207,1058
277,836,161,1005
278,821,160,988
279,824,160,990
280,812,160,978
281,793,161,960
282,800,159,965
283,804,172,982
284,746,162,915
285,733,173,912
286,733,161,901
287,716,160,882
288,692,162,860
289,668,158,833
290,649,160,815
291,620,162,789
292,601,169,776
293,583,162,752
294,560,166,732
295,537,169,713
296,513,158,678
297,491,156,654
298,474,160,641
