Taille du terrain : 1.000000
Nombre de cellules par direction : 1000
Vecteur vitesse : [0.000000, 0.000000]
Position initiale du foyer (col, ligne) : 500, 500
OpenMP threads: 12
step,update_time,display_time,total_time
0,616,240209,240864
1,6824,174336,181203
2,16847,171321,188211
3,83,169776,169908
4,2123,169870,172018
5,265,168669,168981
6,312,169441,169782
7,276,168843,169148
8,324,168178,168530
9,348,168243,168619
10,354,171252,171638
11,381,170654,171062
12,472,170388,170889
13,418,168541,168991
14,483,168870,169383
15,7568,169299,176893
16,419,169266,169714
17,16336,168335,184697
18,1858,168450,170333
19,446,168145,168620
20,493,166093,166612
21,16058,165600,181686
22,697,163309,164034
23,718,164364,165106
24,908,165057,165991
25,863,165086,166044
26,882,165939,166848
27,3366,162959,166364
28,16630,164769,181426
29,2320,167677,170024
30,21839,178361,200241
31,627,165862,166530
32,2224,170129,172393
33,3143,163002,166188
34,3678,163751,167455
35,19018,166477,185525
36,1072,165476,166570
37,1220,165363,166607
38,1241,165673,166941
39,4044,166993,171065
40,6040,169212,175282
41,1363,169570,170964
42,1248,169687,170961
43,1434,168812,170275
44,14809,169186,184022
45,14136,166721,180883
46,1573,163463,165060
47,1836,163089,164950
48,1839,166871,168736
49,1788,164965,166777
50,14370,167244,181639
51,3867,165899,169792
52,2077,164835,166937
53,2179,165381,167585
54,1966,163746,165738
55,2001,164416,166443
56,2193,164474,166692
57,16191,165806,182023
58,14198,166204,180428
59,5174,167477,172676
60,2543,166462,169034
61,3558,165493,169075
62,12417,166263,178700
63,2523,166394,168942
64,3653,165940,169617
65,2771,165103,167899
66,2997,166856,169879
67,2791,166718,169535
68,11855,166955,178840
69,3028,165466,168520
70,3085,165016,168126
71,3269,165040,168334
72,3075,165982,169085
73,3276,165569,168871
74,16663,166933,183623
75,3561,166500,170085
76,5246,167899,173170
77,3509,166114,169652
78,3961,165065,169050
79,3864,169383,173273
80,4056,169996,174081
81,3914,170390,174329
82,4022,170280,174328
83,4023,169714,173766
84,4209,169739,173974
85,4400,170482,174910
86,4471,168980,173480
87,4489,169144,173659
88,4533,169696,174258
89,4858,169084,173970
90,4723,169671,174421
91,4848,170138,175012
92,5023,171146,176198
93,5471,168394,173893
94,5296,168886,174212
95,5541,165855,171421
96,5616,164490,170132
97,11721,166515,178262
98,5968,165005,170998
99,6083,166724,172831
100,6219,164551,170796
101,6237,166963,173226
102,6786,167103,173914
103,6548,166934,173507
104,18342,167169,185537
105,6804,167406,174235
106,6813,167344,174185
107,9346,167325,176697
108,7406,166469,173901
109,7171,167587,174787
110,7731,166963,174720
111,7807,166248,174081
112,7918,166504,174449
113,7975,165297,173298
114,8173,166513,174707
115,8439,166359,174824
116,8797,165040,173864
117,8389,167330,175747
118,8868,164991,173885
119,8826,164646,173497
120,8717,167963,176707
121,9091,166408,175525
122,9266,166443,175735
123,9093,165802,174922
124,9665,164922,174614
125,9543,166297,175868
126,26020,168794,194842
127,9752,166803,176581
128,10007,165240,175271
129,14986,166770,181783
130,9973,167763,177766
131,15282,169882,185190
