Image,ProcessingTime
Perroquet0001.jpg,3.3983073234558105
Perroquet0002.jpg,3.4304277896881104
Perroquet0003.jpg,3.708174467086792
Perroquet0004.jpg,3.8406825065612793
Perroquet0005.jpg,3.8457815647125244
Perroquet0006.jpg,3.9991047382354736
Perroquet0007.jpg,3.879112720489502
Perroquet0008.jpg,3.4652910232543945
Perroquet0009.jpg,3.600675106048584
Perroquet0010.jpg,3.7527997493743896
Perroquet0011.jpg,3.6238319873809814
Perroquet0012.jpg,3.5139336585998535
Perroquet0013.jpg,3.5333847999572754
Perroquet0014.jpg,3.5817410945892334
Perroquet0015.jpg,3.3465375900268555
Perroquet0016.jpg,4.511667251586914
Perroquet0017.jpg,4.0274553298950195
Perroquet0018.jpg,3.644068479537964
Perroquet0019.jpg,3.4058732986450195
Perroquet0020.jpg,3.298800468444824
Perroquet0021.jpg,3.4131314754486084
Perroquet0022.jpg,3.2454538345336914
Perroquet0023.jpg,3.249889850616455
Perroquet0024.jpg,4.44723916053772
Perroquet0025.jpg,3.9238126277923584
Perroquet0026.jpg,3.7010462284088135
Perroquet0027.jpg,3.685804843902588
Perroquet0028.jpg,3.7755351066589355
Perroquet0029.jpg,3.251476526260376
Perroquet0030.jpg,3.2753355503082275
Perroquet0031.jpg,3.2365901470184326
Perroquet0032.jpg,3.403548240661621
Perroquet0033.jpg,3.665032386779785
Perroquet0034.jpg,3.481862783432007
Perroquet0035.jpg,3.868121862411499
Perroquet0036.jpg,3.5763607025146484
Perroquet0037.jpg,3.9601681232452393
Total,136.44829082489014
